objectid,filename,title,format,description,creator,contributors,date,item_information,subject,location,latitude,longitude,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
qfm011,singlesteas_flyer.png,"Provincetown Postive ""Singles Teas"" flyer",image/png,"PROVINCETOWN POSITIVE COALITION ""Singles Teas"" 1990-91 Saturday afternoon events at St. Marys of Harbor for HIV+ and People with AIDS to gather in a safe non-judgemental place.",Unknown,,1990-1991,flyer,AIDS (Disease); Health & Medicine; Advertising fliers; Provincetown; LGBTQ,"Provincetown, Massachusetts",42.054717,-70.184602,Provincetown History Preservation Project,Provincetown History Preservation Project,,asg_000_011,singlesteas_flyers,Copyright not evaluated.,https://rightsstatements.org/page/CNE/1.0/?language=en ,Image;StillImage,eng,http://www.provincetownhistoryproject.com/archives/4811
qfm012,fucktheredribbons_findacure_button.jpg,"""Fuck the Red Ribbons, Find A Cure"" button",image/jpeg,"Object is a circular button with the text ""Fuck the Red Ribbons Find a Cure"" written in black and red text.","Ephemera, Inc.",,1994,button,"People with disabilities; LGBTQ Rights; Health & Medicine; Gay rights; Ephemera, Inc.; Disabilites; LGBTQ","Washington, District of Columbia",38.9072,-77.0369,Smithsonian,Smithsonian,,2011.0183.29,fucktheredribbons_findacure_button,Gift from Judith Porter.,https://www.si.edu/termsofuse,Image;StillImage,eng,https://collections.si.edu/search/results.htm?q=record_ID=nmah_1410481&repo=DPLA
qfm013,ignoranceequalsfear_shirt.jpg,Ignorance=Fear t-shirt,image/jpeg,Text on front states: Ignorance=Fear. Silence=Death. Fight AIDS. ACT UP.,Silence=Death Project,ACT UP (Organization),1980s,t-shirt,AIDS (Disease); Government policy; Gay rights; Silence=Death Project,"Atlanta, Georgia",33.753746,-84.386330,Georgia State University Library,Geoegia State University Library,https://archivesspace.library.gsu.edu/repositories/2/resources/1601,Q149_textiles029,ignoranceequalsfear_shirt,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. ,https://rightsstatements.org/page/InC-EDU/1.0/?language=en ,Image;StillImage,eng,https://digitalcollections.library.gsu.edu/digital/collection/lgbtq/id/4728
qfm014,aidsgate_poster.jpg,"""Aidsgate"" poster",image/jpeg,A poster used by the Silence=Death project to bring attention to President Reagan's policy on AIDS.,Silence=Death Project, ,1987,poster,AIDS (Disease); LGBTQ Rights; Minorities; Women's Health ,"New York, New York",40.753182,-73.982253,Smithsonian,Smithsonian,,1988.0537.06,aidsgate_poster,Avram Finkelstein,https://www.si.edu/termsofuse,Image;StillImage,eng,https://collections.si.edu/search/detail/edanmdm:nmah_1051180?q=record_ID%3Dnmah_1051180
qfm015,ourgovernmentcontinuestoignore_poster.jpg,"Our Government Continues to Ignore the Lives, Death, and Suffering of People with HIV Infection poster",image/jpeg,"Protest poster using American flag symolism with text stating: Our government continues to ignore the lives, deaths and suffering of people with HIV infection because they are gay, black, hispanic or poor. By July 4, 1989 over 55 thousand will be dead. Take direct action now. Fight back. Fight AIDS.",Andrew Wood,ACT UP Atlanta (Organization),1980-1989,poster,AIDS activists; Gay activists; AIDS (Disease); Prevention; Protest,"Atlanta, Georgia",33.753746,-84.386330,Georgia State University Library,Georgia State University Library,https://archivesspace.library.gsu.edu/repositories/2/resources/1439,Q121_OS2_005,ourgovernmentcontinuestoignore_poster,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-EDU/1.0/?language=en ,Image;StillImage,eng,https://digitalcollections.library.gsu.edu/digital/collection/lgbtq/id/2402
qfm016,readmylips_photograph.jpg,Read My Lips (Boys and girls),image/jpeg,"Photograph depicting two men and two women kissing, with the text ""READ MY LIPS"" superimposed onto both.",Gran Fury (Artists' collective),"Manuscripts and Archives Division, The New York Public Library",1987-1995,photograph,AIDS (Disease); Political art,"New York, New York",40.753182,-73.982253,New York Public Library,New York Public Library,,b14693399,readmylips_photograph,"The copyright and related rights status of this item has been reviewed by The New York Public Library, but we were unable to make a conclusive determination as to the copyright status of the item. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.",http://rightsstatements.org/vocab/UND/1.0/,Image;StillImage,eng,https://digitalcollections.nypl.org/items/d251fe70-c6b8-012f-b478-58d385a7bc34#/?uuid=510d47e3-5394-a3d9-e040-e00a18064a99
qfm017,1987marchonwashington_photograph.jpg,1987 March on Washington for Lesbian and Gay Rights photograph,image/jpeg,"Photograph of a pin-back button from the Bruce Monroe collection. This black button has a pink upside triangle behind the Washington D. C. Captiol, with a white circle around it with the text 1987 March on Washington for Lesbian and Gay Rights printed on it.",Megan Gellner,UNT Libraries Special Collections,2021-11-15,photograph,Gay rights; Texas; Dallas; Gay liberation movement,"Washington, District of Columbia",38.9072,-77.0369,UNT Libraries Special Collections,UNT Libraries Special Collections,,UNTA_AR0880-003-001-001,1987marchonwashington_photograph,Reproduction and publication of materials in this collection are subject to the policies of the UNT Special Collections department. Copyright restrictions may apply.,https://texashistory.unt.edu/ark:/67531/metadc1870847/citation/,Image;StillImage,eng,https://texashistory.unt.edu/ark:/67531/metadc1870847
qfm018,loveisloveprotecttransyouth_art.jpg,"""Love is Love: Protect Trans Youth"" art",image/jpeg,"Poster with colorful design of flowers and soccer balls in an arch. Underneath are two youths--one wearing an ""SJ"" jersey--with arms around each other. The messages on either side of the arch: ""love is LOVE"" and ""Protect Trans Youth"" on the LGBTQ+ Trans flag. Designed by Houyee Chow.",Houyee Chow,,2022,art,"San Jose Earthquakes (Soccer team); Soccer; Transgender people; Love; Chow, Houyee","San Jose, California",37.3387,121.8853,History San José,San Jose Soccer Legacy Collection,https://historysanjose.org/research-collection/san-jose-soccer-legacy-collection/,2023-11,loveisloveprotecttransyouth_art,History San Jose,https://historysanjose.catalogaccess.com/,Image;StillImage,eng,https://historysanjose.pastperfectonline.com/archive/A2FCB032-6B83-46FF-B184-110024230370
qfm019,undotwo_shirt.jpg,"""Undo 2"" t-shirt",image/jpeg,"This photograph depicts (from left to right) Linda Fowler, an unknown individual, Mary Celeste, and Frank Brown at a No On 2 Rally at the Colorado State Capitol. They are holding up ""Undo 2"" t-shirts.",Frank Brown,Frank Brown,1991-1995,photograph,"LGBTQ Community; Gay rights; Colorado; Amendment 2 (1992 initiative); Colorado Legal Initiatives Project; LGBTQ pride celebrations; Protest; United States Supreme Court; Equal Protection Ordinance Coalition, Inc. (EPOC); Discrimination Gays Colorado; Gay rights; Lesbian rights","Denver, Colorado",39.742043,-104.991531,History Colorado,History Colorado Gill Foundation LGBTQ+ Archive,https://5008.sydneyplus.com/HistoryColorado_ArgusNet_Final/Portal.aspx?lang=en-US&p_AAEE=tab4&p_AAAU=tab11&d=d,2021.5.31,undotwo_shirt,History Colorado,"https://www.historycolorado.org/collection-policies#:~:text=History%20Colorado%20reserves%20the%20right%20to%20restrict%20reproduction%20or%20use,in%20the%20Collections%20Use%20Agreement.",Image;StillImage,eng,https://5008.sydneyplus.com/HistoryColorado_ArgusNet_Final/Portal/Portal.aspx?component=AAFW&record=AB585687-4615-46A2-A872-93B55226E6EB
qfm020,aidsmemorialquilt_pin.jpg,AIDS memorial quilt pin,image/jpeg,"""The AIDS Memorial Quilt"" pin, owned by Pat and Mayer Levy, who were pioneers in AIDS awareness and LGBT activism in St. Louis, Missouri.",Unknown,Pat and Mayer Levy,1987-2000,pin,AIDS (Disease); LGBTQ resource,"St. Louis, Missouri",38.6270,90.1994,Missouri Historical Society,Missouri Historical Society,,2015-132-0006,aidsmemorialquilt_pin,NO COPYRIGHT - UNITED STATES,https://rightsstatements.org/page/NoC-US/1.0/?language=en,Image;StillImage,eng,https://mohistory.org/collections/item/2015-132-0006
qfm021,gayliberation_poster.jpg,"""Gay Liberation"" poster",image/jpeg,A pro-gay rights poster from the early 1980s.,Philip Foisie,,1970s,poster,Princeton Poster; LGBTQ Rights; Gay Rights; LGBTQ,"Washington, District of Columbia",38.9072,-77.0369,Smithsonian,National Museum of American History,,1981.0452.10,gayliberation_poster,Philip Foisie,https://www.si.edu/termsofuse,Image;StillImage,eng,https://collections.si.edu/search/results.htm?q=record_ID=nmah_541119&repo=DPLA
